,index,author,count,mean
0,3789,7716300e6578ffff8bb93ed9c9e4b3aa,1,443919.0
1,4107,80dfbba6ae9be14f6895ea95e30dafff,1,380805.0
2,1322,29f761cdb84154c2ee62af83fb6ab7c8,16,360146.0625
3,2643,533dee46c0eac71e67887fb5d4cf5013,17,274658.64705882355
4,2236,473d93c75fd35709b076b95c71793e47,4,245260.25
5,4606,9107b6e29e4fb83bfd0252ffc7545208,4,245219.0
6,6167,c108bcf4f4845a1a5ed04eac40d12563,11,245069.63636363635
7,4505,8e0c3cd5f7928819387fef59f62ef656,15,217207.2
8,1298,293ab2f79ab0825a1b15dd3d2b5f94de,7,197632.85714285713
9,1961,3ecec924e518b466cc1689136f92e070,33,187494.9393939394
10,713,170510c846dc82e432d817ad23cd3ef6,33,181864.30303030304
11,3821,7809df7d75f32bfeb60e4421ea2203a0,19,166574.63157894736
12,1137,24c2f9d3e29c4dc71562e53d648da478,9,156191.88888888888
13,6700,d21946c6690cb9577415259cc629c815,27,154668.44444444444
14,1812,3a4bbbd4459e14f33a0fd7327fa1529c,10,151743.9
15,3634,726be14ce2f5e17d7c80e0e220b605da,5,144240.0
16,5109,a0a138ee7b32a536e2326801be17fb31,1,144055.0
17,5790,b4c97f3cc66e6254101db53f0c860819,34,142558.4705882353
18,7477,ea58b927aedcbd9e416cc5e9bc3977fe,23,137951.5652173913
19,1838,3afff68caa09bf32975c6d25160e333e,3,137364.66666666666
20,1080,22d23717ac45f8f2d0250aaad6c692c8,9,136347.33333333334
21,1141,24db456c5260332da8b7f6c397746182,1,133189.0
22,7395,e6c08673b14180b95156387f79975e93,11,132561.18181818182
23,6043,bcccab868b2f9635e065c4f1309340a3,7,130912.57142857143
24,5353,a76f596ba3b584414cc28d8c5dcc314a,22,129068.40909090909
25,4884,995a1943ebb017390ee5007b8d6051e9,20,127810.3
26,6702,d232857c1754d01abbf53c3c4b0f2d94,96,127034.52083333333
27,4259,85d0bd3beea21cd6a7bfca36fdc5cd4e,12,126294.91666666667
28,379,0c1313265cf9c753f854a9a6b6ac5231,1,121530.0
29,546,119b9f2693f51e77e95ab3378c62802e,1,121140.0
30,2101,43126adf57e9a96d5c2d9670881b7ae8,1,119717.0
31,3678,73a3fde13f5019658bc31ee5d2793fd8,20,119158.85
32,1941,3e584c341c5b2700003d6110869ab5e8,51,118158.50980392157
33,3686,74082e24ae37a208c6aa97ce991e9b10,42,115760.78571428571
34,1076,22b993074d1139b08aa9571c77db23f4,29,110531.37931034483
35,4962,9b80528912197f50f3e13247bb678890,99,110163.0101010101
36,4852,98cad907ebcca7b3976810eec46700e1,7,109688.85714285714
37,5501,ac3c9e7ba7efa1a11e49368d8a4139b8,35,107105.25714285714
38,3596,714bed7b93c99f763fd3b138f9b8fc3c,6,106699.66666666667
39,5356,a785c535acc57b0dc44a479d3a26766e,94,105734.62765957447
40,1866,3bb27eaeccdf3093b3c0c0dac08e7721,5,102753.0
41,8021,fcb5f3d8a661ef025dd67072fb142f7c,7,101290.57142857143
42,4773,965d07d9ff50ef91ea171a3da872cd6c,1,100678.0
43,7,004c532c3994037310cd9fb5ceab2f23,23,100354.21739130435
